injectate_temperature_c,double,null
cardiac_index_n_a,double,null
cco_n_a,double,null
cco_2_n_a,double,null
global_end_diastolic_volume_index_n_a,double,null
tblood_picco2_c,double,null
itbi_n_a,double,null
cardiac_index_2_n_a,double,null
extravascular_lung_water_index_ml_kg,double,null
pulse_contour_cardiac_index_n_a,double,null
right_to_left_heart_shunt_fraction,double,null
pulmonary_vascular_permeability_index_n_a,double,null
global_end_diastolic_volume_index_n_a_1,double,null
stroke_volume_ml,double,null
stroke_volume_index_n_a,double,null
intrathoracic_blood_volume_index_n_a,double,null
pulmonary_vascular_permeability_index_2_n_a,double,null
extravascular_lung_water_index_2_ml_kg,double,null
scvo2,double,null
do2i_n_a,double,null
sao2_picco2,double,null
do2_picco2_ml_min,double,null
svr_index_n_a,double,null
spo2_picco2,double,null
o2_consumption_vo2_ml_min,double,null
hematocrit,double,null
o2_consumption_index_n_a,double,null
plasma_disappearance_rate_n_a,double,null
icg_retention_rate,double,null
co_picco2_l_min,double,null
abps_picco2_mmhg,double,null
abpd_picco2_mmhg,double,null
abpm_picco2_mmhg,double,null
global_end_diastolic_volume_ml,double,null
itbv_ml,double,null
cardiac_output_l_min,double,null
hr_picco2_min,double,null
extravascular_lung_water_ml,double,null
cardiac_function_index_min,double,null
pulse_contour_cardiac_output_l_min,double,null
ejection_fraction,double,null
global_end_diastolic_volume_ml_1,double,null
intrathoracic_blood_volume_ml,double,null
stroke_volume_mean_ml,double,null
stroke_volume_min_ml,double,null
extravascular_lung_water_2_ml,double,null
stroke_volume_max_ml,double,null
global_ejection_fraction,double,null
cardiac_function_index_2_min,double,null
pulse_pressure_variation,double,null
svr_n_a,double,null
stroke_volume_variation,double,null
cvp_picco2_mmhg,double,null
dpmx_n_a,double,null
abp_s_mmhg,double,null
abp_m_mmhg,double,null
abp_d_mmhg,double,null
current_ventilation_type_n_a,double,null
device_screen_lock_status_n_a,double,null
breathing_circuit_total_leakage_l_min,double,null
percent_of_patient_triggered_breaths,double,null
nppv_mode_setting_n_a,double,null
nppv_respiration_rate_setting_bpm,double,null
nppv_epap_setting_cmh2o,double,null
nppv_ipap_setting_cmh2o,double,null
nppv_inspiratory_time_setting_sec,double,null
nppv_rise_time_setting_sec,double,null
nppv_o2_concentration_setting,double,null
nppv_e_cycle_type_n_a,double,null
tidal_volume_ml,double,null
minute_volume_l_min,double,null
peak_inspiratory_pressure_cmh2o,double,null
total_respiration_rate_bpm,double,null
ratio_of_inspiration_time_to_total_breath_cycle_n_a,double,null
aos_mmhg,double,null
aod_mmhg,double,null
ic1m_mmhg,double,null
tart_c,double,null
sqi,double,null
emg_db,double,null
bis_n_a,double,null
perfpr_2_n_a,double,null
uvpm_mmhg,double,null
temp_2_c,double,null
tskin_c,double,null
tesoph_c,double,null
tesoph_2_c,double,null
hr_n_a,double,null
end_expiratory_flow_l_min,double,null
tvex_l,double,null
pplat_cmh2o,double,null
tiset_n_a,double,null
vti_l,double,null
vte_s_l,double,null
spo2l,double,null
perf_l_n_a,double,null
spo2_2,double,null
perf_2_n_a,double,null
perf_l_2_n_a,double,null
spo2l_2,double,null
perfpo_2_n_a,double,null
spo2po_2,double,null
pulse_pap_bpm,double,null
ps_mmhg,double,null
pd_mmhg,double,null
pap_s_mmhg,double,null
pap_d_mmhg,double,null
pap_m_mmhg,double,null
ao_s_mmhg,double,null
ao_m_mmhg,double,null
ao_d_mmhg,double,null
leak,double,null
ipi_n_a,double,null
spo2_n_a,double,null
tskin_2_c,double,null
t1_3_c,double,null
tnaso_c,double,null
pulse_spo2l_bpm,double,null
rr_n_a,double,null
tesoph_3_c,double,null
temp_3_c,double,null
t4_c,double,null
t4_2_c,double,null
spo2r,double,null
dspo2,double,null
pulse_spo2r_bpm,double,null
bapm_mmhg,double,null
baps_mmhg,double,null
bapd_mmhg,double,null
icps_mmhg,double,null
icpd_mmhg,double,null
patient_pulmonary_stress_index_2_n_a,double,null
uaps_mmhg,double,null
uapd_mmhg,double,null
spo2pr_n_a,double,null
p1m_mmhg,double,null
p1s_mmhg,double,null
p1d_mmhg,double,null
i_e_ratio_2_n_a,double,null
spo2po_n_a,double,null
perf_r_n_a,double,null
spo2r_2,double,null
perf_r_2_n_a,double,null
perfpr_3_n_a,double,null
spo2pr_3,double,null
spo2r_3,double,null
perf_r_3_n_a,double,null
tiset,double,null
riseset_2,double,null
p0_1_airway_pressure_2_cmh2o,double,null
spo2_3,double,null
p4m_mmhg,double,null
p4s_mmhg,double,null
p4d_mmhg,double,null
spo2po_3,double,null
resp_rpm,double,null
nebultime_n_a,double,null
p0_1_cmh2o,double,null
set_backuprr_n_a,double,null
rr_ml,double,null
vti_l_min,double,null
mve_cmh2o,double,null
peep,double,null
o2_mbar,double,null
supo2_n_a,double,null
flee_cmh2o_l_s,double,null
cdyn,double,null
ti_ttot_cmh2o,double,null
rrsp_l_min,double,null
mve_sp_n_a,double,null
wobp_cmh2o,double,null
p0_1_v,double,null
sbi_mmhg,double,null
ti_ml_cmh2o,double,null
faps_mmhg,double,null
fapd_mmhg,double,null
fapm_mmhg,double,null
cstat_ml_cmh2o,double,null
peeptot_cmh2o,double,null
tc_sec,double,null
e_cmh2o_l,double,null
tcore_c_1,double,null
set_presscntrllvl_n_a,double,null
ri_cmh2o_l_s,double,null
trect_c_1,double,null
tcereb_c,double,null
nbps_n_a,double,null
nbpd_n_a,double,null
nbpm_n_a,double,null
edimax_v,double,null
edit,double,null
edi,double,null
set_navalvl_n_a,double,null
set_editrigger_n_a,double,null
pi_ppv,double,null
pi_sv_ml,double,null
pi_itbv_ml,double,null
pi_evlw_ml,double,null
pi_cfi_min,double,null
pi_pcco_l_min,double,null
pi_svr_dyn_s_cm_5,double,null
pi_ci_l_min_m2,double,null
pi_gedi_ml_m2,double,null
pi_itbi_ml_m2,double,null
pi_elwi_ml_kg,double,null
pi_pcci_l_min_m2,double,null
pi_svi_ml_m2,double,null
pi_svri_dyn_s_cm_5_m2,double,null
pi_co_l_min,double,null
pi_gedv_ml,double,null
pi_svv,double,null
lap_m_mmhg,double,null
set_cpap_n_a,double,null
s_3_rso2,double,null
s_4_rso2,double,null
re_ml_cmh2o,double,null
rr,double,null
nbp_s_mmhg_1,double,null
nbp_m_mmhg_1,double,null
nbp_d_mmhg_1,double,null
set_pausetime_n_a_1,double,null
tesoph_c_1,double,null
tblood_c_1,double,null
vmode_n_a,double,null
vmode_2_n_a,double,null
rr_m_4_min,double,null
rraw_3_min,double,null
fio2_3,double,null
peep_3_cmh2o,double,null
cdyn_3_n_a,double,null
ppeak_3_cmh2o,double,null
pmean_3_cmh2o,double,null
rsbi_3_n_a,double,null
end_expiratory_flow_2_n_a,double,null
vti_3_ml,double,null
tvex_3_ml,double,null
e_3_n_a,double,null
tcereb_2_c,double,null
tnaso_c_1,double,null
ci_l_min_m2,double,null
co_l_min,double,null
uap_m_mmhg,double,null
uap_s_mmhg,double,null
uap_d_mmhg,double,null
leak_cmh2o_l,double,null
peeptot_rpm,double,null
cstat_l_sec,double,null
tc_joule_l,double,null
pulse_2_bpm,double,null
pvc_2_bpm,double,null
riseset_n_a,double,null
tven_c,double,null
pulse_p_bpm,double,null
tskin_c_1,double,null
edimin,double,null
edi_breaths_min_l,double,null
edimin_v,double,null
mvi_2_l_min,double,null
mve_2_l_min,double,null
o2_2,double,null
pbaro_2_mbar,double,null
supair_2_mbar,double,null
supo2_2_mbar,double,null
flee_2_l_sec,double,null
cdynolt_2_ml_cmh2o,double,null
awrr_2_rpm,double,null
s_1_rso2_2,double,null
s_2_rso2_2,double,null
s_3_rso2_2,double,null
s_4_rso2_2,double,null
cdyn_2_ml_cmh2o,double,null
ti_ttot_2_n_a,double,null
rrsp_2_rpm,double,null
mve_sp_2_l_min,double,null
wobv_2_joule_l,double,null
wobp_2_joule_l,double,null
p0_1_2_cmh2o,double,null
edimax_2_v,double,null
edimin_2_v,double,null
edit_2,double,null
edi_2,double,null
sbi_2_breaths_min_l,double,null
set_presssuptlvl_2_n_a,double,null
set_peep_2_cmh2o,double,null
set_upperpress_2_n_a,double,null
set_backuprr_2_n_a,double,null
vte_2_ml,double,null
hr_2_bpm,double,null
rr_3_rpm,double,null
etco2,double,null
mvco2_ml_min,double,null
tven_c_1,double,null
tart_c_1,double,null
pulse_fap_bpm,double,null
raps_mmhg,double,null
rapd_mmhg,double,null
pulse_uap_bpm,double,null
tvesic_c,double,null
tvesic_2_c,double,null
p3m_mmhg,double,null
p3s_mmhg,double,null
p3d_mmhg,double,null
pulse_ao_bpm,double,null
tart_2_c,double,null
trect_3_c,double,null
dl_load_dt,date,null
dl_load_ts,timestamp,null
filename,string,null
cdipco2_mmhg,double,null
cdihco3_meq_l,double,null
